x/y in deg,X 80 deg prior,X 40 deg prior,X 20 deg prior, X 10 deg prior, Y 80 deg prior, Y 40 deg prior, Y 20 deg prior, Y 10 deg prior
sub01,-0.0665,0.0126,-0.2665,-0.01,-1.53,-0.6,-1.2,-0.77
sub02,-0.15,-0.25,-0.02,0.04,-0.14,-0.13,-0.42,-0.1
sub03,-0.36,-0.17,-0.32,-0.68,-0.12,-0.1,0.24,0.6
sub04,-1.22,0.12,-1.36,-0.03,0.47,-0.33,0.89,-1.16
sub05,-0.09,-0.57,-0.32,0.16,-0.12,0.33,-0.14,-0.57
sub06,0.09,-0.1,0.41,0.17,1.13,0.88,0.92,0.81
sub07,-0.25,0.01,0.1,-0.03,0.35,0.29,-0.22,-0.14
sub08,0.07,0.29,0.12,0.47,0.18,0.77,0.29,-0.59
sub09,1.09,1.42,0.62,0.42,0.94,0.83,0.81,0.47
sub10,-0.56,-0.45,-0.36,-0.6,-0.2,0.37,-0.13,-0.4
sub11,-0.16,0.25,0.39,-0.03,0.24,0.61,-0.15,0.06
sub12,-0.12,-0.08,-0.09,-0.44,-0.88,-0.38,-1.42,-0.12
